state,avg_state_growth
Nagaland,82.27
Dadra and Nagar Haveli,56
Daman and Diu,43
Puducherry,34.25
Meghalaya,30.43
Arunachal Pradesh,27.94
Manipur,25.67
Bihar,25.21
Mizoram,24.5
Jammu and Kashmir,24.36
Jharkhand,23.75
Rajasthan,21.18
Haryana,20.57
Madhya Pradesh,20.28
Chhattisgarh,20.06
Uttar Pradesh,20.04
Gujarat,17.12
Chandigarh,17
Tripura,16.75
Assam,16.48
Tamil Nadu,14.69
Orissa,14.23
West Bengal,14.16
Delhi,14
Maharashtra,13.89
Punjab,13.55
Uttarakhand,13.15
Karnataka,11.87
Sikkim,11.5
Himachal Pradesh,11.42
Andhra Pradesh,10.87
Goa,8.5
Lakshadweep,6
Kerala,4.14
Andaman And Nicobar Islands,0.67
State,NULL
