state,Total_Females,Total_Males
Andaman And Nicobar Islands,274664,320
Andhra Pradesh,84495667,85110
Arunachal Pradesh,1205856,1298
Assam,31173027,32549
Bihar,102589682,111681
Chandigarh,1054161,1289
Chhattisgarh,27150046,27436
Daman and Diu,242840,407
Delhi,141831,173
Goa,1457047,1498
Gujarat,58248956,63650
Haryana,25322633,28829
Himachal Pradesh,10590194,10758
Jammu and Kashmir,12527190,14112
Jharkhand,31889433,33645
Karnataka,61287502,63025
Kerala,33375266,30795
Lakshadweep,64405,68
Madhya Pradesh,67608643,72684
Maharashtra,113201467,121512
Manipur,2852896,2898
Meghalaya,2705322,2727
Mizoram,1096082,1124
Nagaland,1976378,2124
Orissa,41931357,42861
Puducherry,1246750,1203
Punjab,26718865,29845
Rajasthan,71680486,77092
Tamil Nadu,72074677,72353
Tripura,3670094,3823
Uttar Pradesh,196563770,215706
Uttarakhand,7500868,7731
West Bengal,91180117,95998
