state,literate_people,illiterate_people
Andaman And Nicobar Islands,241015,33969
Andhra Pradesh,56671677,27909100
Arunachal Pradesh,761557,445597
Assam,22484408,8721168
Bihar,63994271,38707092
Chandigarh,908215,147235
Chhattisgarh,18621155,8556327
Daman and Diu,211827,31420
Delhi,125446,16558
Goa,1293736,164809
Gujarat,45836337,12476269
Haryana,19123489,6227973
Himachal Pradesh,8883923,1717029
Jammu and Kashmir,8391151,4150151
Jharkhand,21132064,10791014
Karnataka,46146323,15204204
Kerala,31395555,2010506
Lakshadweep,59218,5255
Madhya Pradesh,47069452,20611875
Maharashtra,92954047,20368932
Manipur,2196538,659256
Meghalaya,2009087,698962
Mizoram,999927,97279
Nagaland,1569751,408751
Orissa,30486803,11487415
Puducherry,1071352,176601
Punjab,20201268,6547442
Rajasthan,47063501,24694077
Tamil Nadu,57775521,14371509
Tripura,3203603,470314
Uttar Pradesh,133084734,63694742
Uttarakhand,5992808,1515791
West Bengal,69475387,21800728
