Top_3_Districts,literacy,State,District
1,89.12999725,Andaman And Nicobar Islands,South Andaman
2,83.91000366,Andaman And Nicobar Islands,North And Middle Andaman
3,78.05999756,Andaman And Nicobar Islands,Nicobars
1,83.25,Andhra Pradesh,Hyderabad
2,75.87000275,Andhra Pradesh,Rangareddy
3,74.62999725,Andhra Pradesh,West Godavari
1,79.94999695,Arunachal Pradesh,Papumpare
2,74.34999847,Arunachal Pradesh,Lower Subansiri
3,72.54000092,Arunachal Pradesh,East Siang
1,88.70999908,Assam,Kamrup Metropolitan
2,82.15000153,Assam,Jorhat
3,80.41000366,Assam,Sivasagar
1,73.37000275,Bihar,Rohtas
2,70.68000031,Bihar,Patna
3,70.47000122,Bihar,Bhojpur
1,86.05000305,Chandigarh,Chandigarh
1,79.05999756,Chhattisgarh,Durg
2,78.36000061,Chhattisgarh,Dhamtari
3,75.95999908,Chhattisgarh,Rajnandgaon
1,76.23999786,Dadra and Nagar Haveli,Dadra and Nagar Haveli
1,88.06999969,Daman and Diu,Daman
2,83.45999908,Daman and Diu,Diu
1,89.30999756,Delhi,East Delhi
2,88.33999634,Delhi,New Delhi
3,88.27999878,Delhi,South West Delhi
1,89.56999969,Goa,North Goa
2,87.58999634,Goa,South Goa
1,85.52999878,Gujarat,Surat
2,85.30999756,Gujarat,Ahmadabad
3,84.37000275,Gujarat,Anand
1,84.69999695,Haryana,Gurgaon
2,81.87999725,Haryana,Panchkula
3,81.75,Haryana,Ambala
1,88.15000153,Himachal Pradesh,Hamirpur
2,86.52999878,Himachal Pradesh,Una
3,85.66999817,Himachal Pradesh,Kangra
1,83.44999695,Jammu and Kashmir,Jammu
2,81.41000366,Jammu and Kashmir,Samba
3,77.19999695,Jammu and Kashmir,Leh
1,76.05999756,Jharkhand,Ranchi
2,75.48999786,Jharkhand,Purbi Singhbhum
3,74.51999664,Jharkhand,Dhanbad
1,88.56999969,Karnataka,Dakshina Kannada
2,87.66999817,Karnataka,Bangalore
3,86.23999786,Karnataka,Udupi
1,97.20999908,Kerala,Kottayam
2,96.55000305,Kerala,Pathanamthitta
3,95.88999939,Kerala,Ernakulam
1,91.84999847,Lakshadweep,Lakshadweep
1,81.06999969,Madhya Pradesh,Jabalpur
2,80.87000275,Madhya Pradesh,Indore
3,80.37000275,Madhya Pradesh,Bhopal
1,89.91000366,Maharashtra,Mumbai Suburban
2,89.20999908,Maharashtra,Mumbai City
3,88.38999939,Maharashtra,Nagpur
1,86.08000183,Manipur,Imphal West
2,82.77999878,Manipur,Churachandpur
3,81.94999695,Manipur,Imphal East
1,84.15000153,Meghalaya,East Khasi Hills
2,77.87000275,Meghalaya,West Khasi Hills
3,75.66999817,Meghalaya,Ri Bhoi
1,97.91000366,Mizoram,Serchhip
2,97.88999939,Mizoram,Aizawl
3,95.91000366,Mizoram,Champhai
1,91.62000275,Nagaland,Mokokchung
2,87.69000244,Nagaland,Wokha
3,85.26000214,Nagaland,Zunheboto
1,86.87999725,Orissa,Khordha
2,86.58999634,Orissa,Jagatsinghapur
3,85.5,Orissa,Cuttack
1,97.87000275,Puducherry,Mahe
2,87.05000305,Puducherry,Karaikal
3,85.44000244,Puducherry,Puducherry
1,84.58999634,Punjab,Hoshiarpur
2,83.80000305,Punjab,Mohali
3,82.48000336,Punjab,Jalandhar
1,76.55999756,Rajasthan,Kota
2,75.51000214,Rajasthan,Jaipur
3,74.12999725,Rajasthan,Jhunjhunun
1,83.84999847,Sikkim,East Sikkim
2,81.41999817,Sikkim,South Sikkim
3,78.01000214,Sikkim,North Sikkim
1,NULL,State,District
1,91.75,Tamil Nadu,Kanniyakumari
2,90.18000031,Tamil Nadu,Chennai
3,86.16000366,Tamil Nadu,Thoothukkudi
1,88.69000244,Tripura,West Tripura
2,87.5,Tripura,North Tripura
3,85.72000122,Tripura,Dhalai
1,80.12000275,Uttar Pradesh,Gautam Buddha Nagar
2,79.65000153,Uttar Pradesh,Kanpur Nagar
3,78.94999695,Uttar Pradesh,Auraiya
1,84.25,Uttarakhand,Dehradun
2,83.87999725,Uttarakhand,Nainital
3,82.65000153,Uttarakhand,Chamoli
1,87.01999664,West Bengal,Purba Medinipur
2,86.30999756,West Bengal,Kolkata
3,84.05999756,West Bengal,North Twenty Four Parganas
